Abstract,Date,Days,Downloads,Impact,Refrences,Search,Views,url
" COVID-19 patients accompanied by diabetes, and with laboratory characteristics of lymphocytopenia and thrombocytopenia, elevated concentration of plasma cytokines IL-2R, IL6, IL-10 and TNFα, other factors (CRP, LDH and ferritin) were associated with disease severity. For these patients, however, IMV could not significantly improved the prognosis. It’s important for timely treatments to reverse the progression to respiratory failure.",2020-03-17,39.0,566.0,14.512820512820513,25.0,Clinical Characteristics of 77 Novel Coronavirus 2019 Infected Patients with Respiratory Failure in the Terminal Stage in Wuhan,94.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551325
" Among the infected Chinese healthcare workers whose symptoms onset appeared during the same ten-day period, the percentage of those in severe conditions decreased statistical significantly from 19.7% (Jan 11 – 20) to 14.4% (Jan 21 – 31) to 8.7% (Feb 1 – 11). Across the country, there was also a significant difference in the disease severity among patients symptoms onset during the same period, with Wuhan being the most severe (17%), followed by Hubei Province (10.4%), and the rest of China (7.0%). The case fatality rate for the 1,688 infected Chinese healthcare workers was significantly lower than that for the 29,798 infected patients aged 20-59 years -- 0.3% (5/1,688) vs. 0.65% (193/29,798), respectively. ",2020-03-17,39.0,465.0,11.923076923076923,11.0,"Geo-Temporal Distribution of 1,688 Chinese Healthcare Workers Infected with COVID-19 in Severe Conditions – A Secondary Data Analysis",61.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551326
" As the outbreak was rapid and sudden, and great uncertainties in COVID-19 still remain, we faced substantial challenges and difficulties. As the cost of in-hospital transmission is unbearable, our experiences and lessons suggested that prompt actions should be taken immediately to decrease or eliminate potential in-hospital transmission. Experience shared herein may be useful for those facilities who are and who may engage in COVID-19.",2020-03-17,39.0,615.0,15.76923076923077,11.0,"Emergency Responses to COVID-19 Outbreak: Experiences and Lessons from a General Hospital in Nanjing, China",109.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551327
" Current study reminds us that governments should strengthen the publicity of COVID-19 nationally, reinforce the public's vigilance and sensitivity to COVID-19, inform public the importance of protecting themselves with enough precautionary measures, and finally control the spread of COVID-19 globally.",2020-03-12,44.0,1219.0,27.704545454545453,33.0,More Effective Strategies are Required to Strengthen Public Awareness of COVID-19: Evidence from Google Trends,318.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550008
" We reported a large proportion of COVID-19 patients with coinfection of seasonal respiratory pathogens in Qingdao, northeast China, which differed greatly from the patients in Wuhan, central China. Precautions are needed when dealing with COVID-19 patients beyond the epidemic centre who have coinfection with other respiratory pathogens. We highly recommend adding SARS-CoV-2 to routine diagnostic testing in capable hospitals to prevent misdetection of the virus.",2020-03-12,44.0,2145.0,48.75,35.0,Precautions Are Needed for COVID-19 Patients with Coinfection of Common Respiratory Pathogens,411.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550013
" To date, Coronavirus Disease 2019 (COVID-19), caused by SARS-CoV-2, has established significant community spread in cities and regions along a narrow east west distribution roughly along the 30-50o Nâ€™ corridor at consistently similar weather patterns consisting of average temperatures of 5-11oC, combined with low specific (3-6 g/kg) and absolute humidity (4-7 g/m3). There has been a lack of significant community establishment in expected locations that are based only on population proximity and extensive population interaction through travel. ",2020-03-09,47.0,86078.0,1831.4468085106382,25.0,Temperature and Latitude Analysis to Predict Potential Spread and Seasonality for COVID-19,214718.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550308
" By dynamic observations of the serum biochemistry profile, chest CT imaging of 12 amongst 13 COVID patients outside Wuhan, SAA was identified as a potential biomarker linked with clinical severity. Moreover, immune cell sorting analysis unraveled the landscape of innate and adaptive immunity machinery underlying COVID-19.",2020-03-10,46.0,903.0,19.630434782608695,21.0,Clinical Hallmarks of 13 COVID-19 Patients Revealing SAA Biomarker,236.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546066&utm_source=EC&utm_medium=Connect
" COVID-19 patients with diarrhea suffered discomfort longer, as compared with COVID-19 pneumonia patients without diarrhea. The elimination of SARS-CoV-2 from digestive system took much more time than that from respiratory system, in some COVID-19 patients with diarrhea.",2020-03-10,46.0,1935.0,42.06521739130435,23.0,Clinical Characteristics of SARS-CoV-2 Infected Pneumonia with Diarrhea,292.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546120&utm_source=EC&utm_medium=Connect
" A total of 69 severe type COVID-19 patients were included. On admission, the median age of severe cases was 56-year old, with 52.17% of female patient. The most common symptoms were fever (79.72%), coughing (63.77%), shortness of breath (57.97%) and fatigue (50.72%). Diarrhea is less common. The most common comorbidity is hypertension. Upon admission, the proportion of bilateral pulmonary involvement or interstitial pneumonia evidenced by CT imaging in severe cases was 60.87% and 27.54%, respectively. Compared with patients with nonsevere disease, those with severe disease showed lymphocytopenia. Elevated level of lactate dehydrogenase (LDH), C-reactive protein (CRP), ferritin and D-dimer was found in most cases. Two patients (2.9%) needed transfer to the intensive care unit. Baseline immunological parameters and most of the inflammatory parameters were basically within the normal range. However, baseline IL-6 was significantly increased in severe type which is closely related to the maximal body temperature during hospitalization and CT findings. Baseline IL-6 was also significantly related to the increase of baseline level of CRP, LDH, ferritin and D-dimer. The increase of baseline IL-6 level suggests that it may positively correlate with the severity of COVID-19. Among the 30 severe type patient whose level of IL-6 was assessed before and after treatment, significant decrease in IL-6 and improved CT assessment was found in 25 patients after treatment. Whereas the IL-6 level was further increased in 3 cases, which was closely related to the progression of pneumonia. It is suggested that IL-6 may be used as a biomarker for disease monitoring in severe COVID-19 patients.  ",2020-03-10,46.0,989.0,21.5,17.0,The Potential Role of IL-6 in Monitoring Coronavirus Disease 2019,222.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548761&utm_source=EC&utm_medium=Connect
" Totally, 1860 patients were screened and 136 patients were enrolled in the study. 72 (52.94%) of them were diagnosed as influenza (Flu) A virus infection. 32 (23.53%) of the patients were diagnosed as Flu B virus infection. 18 (13.24%) and 14 (10.29%) of the patients were diagnosed as COVID-19 and respiratory syncytial virus (RSV) infection respectively. COVID-19 group had a higher rate of contact with epidemic area within 14 days and clustering onset than other groups (P&lt;0.05). Fever was the most common symptom in the respiratory virus infection patients. The ratio of fever and the highest temperature were higher in Flu A virus infection patients than in COVID-19 patients (P&lt;0.05). COVID-19 patients had lower white blood cell (WBC) count and neutrophil count than Flu A virus and RSV infection group (P&lt;0.05), but higher lymphocyte count than Flu A and B virus infection groups (P&lt;0.05). C-reactive protein was higher in RSV infection group than in COVID-19 and Flu B infection group, but was not statistically different in Flu A and B infection and COVID-19 groups. COVID-19 group (83.33%) had a higher rate of pneumonia in chest CT scan than Flu A and B virus infection group (P&lt;0.05).  ",2020-03-10,46.0,587.0,12.76086956521739,16.0,Characteristics of Respiratory Virus Infection During the Outbreak of 2019 Novel Coronavirus in Beijing,85.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548768&utm_source=EC&utm_medium=Connect
" Of 301 hospitalized COVID-19 patients, the median age was 58 years and 51.2% were male. The median period between symptoms presence and positive SARS-CoV-2 RT-PCR results was 16 days (IQR, 10-23, N=301). The median period between symptoms presence and an effective negative SARS-CoV-2 RT-PCR result was 20 days (IQR, 17-24; N=216). Infected patient ≥65 years old stayed contagious longer (22 days vs 19 days, p=0.015). Although two consecutive negative results were confirmed in 70 patients, 30% of them had positive viral test results for the third time. Using specimens from nasal swabs to run the RT-PCR test showed a higher positive rate than using specimens from throat swabs. ",2020-03-10,46.0,2113.0,45.93478260869565,21.0,"Dynamic Profile of RT-PCR Findings from 301 COVID-19 Patients in Wuhan, China: A Descriptive Study",346.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548769&utm_source=EC&utm_medium=Connect
