Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
243,3.0,0.1435,"positive, negative, swab, show, throat, median, sample, stool, specimen, tract"," Of 301 hospitalized COVID-19 patients, the median age was 58 years and 51.2% were male. The median period between symptoms presence and positive SARS-CoV-2 RT-PCR results was 16 days (IQR, 10-23, N=301). The median period between symptoms presence and an effective negative SARS-CoV-2 RT-PCR result was 20 days (IQR, 17-24; N=216). Infected patient ≥65 years old stayed contagious longer (22 days vs 19 days, p=0.015). Although two consecutive negative results were confirmed in 70 patients, 30% of them had positive viral test results for the third time. Using specimens from nasal swabs to run the RT-PCR test showed a higher positive rate than using specimens from throat swabs. "
244,18.0,0.0837,"child, clinical, history, characteristic, exposure, epidemiological, adult, long, fecal, describe", This is the first time to describe the epidemiological and clinical features of COVID-19 in the nearest capital cities around Wuhan. Wuhan city lockdown was effective in blocking the spread of COVID-19 outside Wuhan. Patients with short-termed Wuhan exposure history may be severer than those without Wuhan exposure.  
245,43.0,0.048,"symptom, discharge, laboratory, initial, similar, examination, evaluate, avoid, recovery, recently"," In this case series in Jiangsu Province, COVID-19 patients have less severe symptoms and have better outcomes than the initial COVID-19 patients in Wuhan. The BMI ≥ 28 kg/m 2 and a known history of type 2 diabetes are independent risk factors of severe illness in patients with COVID-19.  "
246,14.0,0.1783,"feature, lung, ggo, image, opacity, consolidation, peripheral, pulmonary, pattern, ground_glass"," Typical CT manifestations include the involvement of multiple lobes, mostly in the peripheral zone of the lungs, and subpleural distribution. GGO, crazy paving or mixed GGO and consolidation is the most common signs. Few patients can present small amount of pleural effusion. It is worth noting that none of the lung cavities, tree buds, and lymphadenopathy appeared. The follow-up imaging findings of some patients showed progress when the initial CT score reached 7. "
247,2.0,0.0448,"covid, role, play, study, situation, linear, case, utilize, youtube, distribution"," For the outbreak of such infectious diseases as COVID-19, public health methods play greater roles in controlling the epidemic."
248,70.0,0.084,"epidemic, social, psychological, government, distress, potentially, adverse, impact, slow, student"," Our results highlight that government authorities should make early detection of the high risk of anxiety among medical staff a priority, and implement appropriate psychological intervention programs, to prevent medical staff from developing psychological disorders that could potentially exert an adverse effect on combating the COVID-19 epidemic."
249,5.0,0.0611,"treatment, viral, antiviral, rna, corticosteroid, drug, body, therapy, clearance, antibiotic", SARS-CoV-2 may cause the liver function damage and the Lopinavir/ritonavir should be applied carefully for the treatment of COVID-19.
250,15.0,0.054,"lymphocyte, count, subset, low, neutrophil, lymphocyte_count, white, reactive_protein, ast, trend", The predictive effect of CD3+ lymphocyte typing count on the clinical outcome of COVID-19 was better than that of routine lymphocyte count. Elevated at-admission procalcitonin and prothrombin time were independent prognostic factors for death. 
251,43.0,0.0792,"symptom, discharge, laboratory, initial, similar, examination, evaluate, avoid, recovery, recently"," Monitoring the trends of symptoms is more important for identifying severe cases. Excessive laboratory data and physical examination are not necessary for the evaluation of patients with mild symptoms. The system we developed is the first to convert the subjective symptoms of patients into objective scores. This type of O2O, subjective-to-objective strategy may be used in regions with similar highly infectious diseases to minimize the possibility of infection among medical staff."
252,25.0,0.0672,"pandemic, community, health, term, policy, system, strategy, economic, ongoing, area", Our findings suggest that the inadequate capacity to respond to public health emergencies caused by relatively scarce health-care resources is a crucial factor contributes to the higher CFR of infectious diseases in regions with lower economic levels. Backward countries and territories should take strategies earlier to minimize the endanger of COVID-19. 
253,52.0,0.054,"covid, clinical, outcome, characteristic, pregnant_woman, sar, great, bad, mer, maternal"," The COVID-19 patient’s clinical outcome in Jiangsu was no worse than that in Hubei. Age, fever, cough and SpO2 were found to be associated with a severe or critically ill infection. These results may help screening and early management of the COVID-19 cases."
254,65.0,0.0393,"covid, early_stage, management, close, recommend, wide, rapid, characterize, medical_staff, susceptible"," All people are susceptible to the COVID-19, but older males and those with comorbid conditions are more likely to have severe symptoms. Even though COVID-19 is highly contagious, control measures have proven to be very effective."
255,14.0,0.0681,"feature, lung, ggo, image, opacity, consolidation, peripheral, pulmonary, pattern, ground_glass"," Pregnancy and childbirth did not aggravate the course of symptoms or CT features of COVID-19 Pneumonia. Pregnant women with COVID-19 pneumonia were mostly mild type, presenting with clinical features and CT imaging progression pattern similar to those of non-pregnant women. No infection was found in the newborns. In this report, the pregnant women achieved a good recovery without use of antiviral drugs."
